Año,Mes,Día,productType,cloudCover,origin,tileId,datastripId,orbitNumber,processingDate,productGroupId,processingLevel,processorVersion,platformShortName,instrumentShortName,relativeOrbitNumber,platformSerialIdentifier,datetime,Nubosidad_Bins,Satelite
2021,2,22,S2MSI2A,99.971378,ESA,17MQM,S2A_OPER_MSI_L2A_DS_S2RP_20230522T024637_S20210222T153041_N05.00,29623,2023-05-22T02:46:37.000000+00:00,GS2A_20210222T152641_029623_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-02-22,"[99, 100)",S2A
2021,1,23,S2MSI1C,88.1566783122816,ESA,18LTQ,S2A_OPER_MSI_L1C_DS_S2RP_20230519T094144_S20210123T153328_N05.00,29194,2023-05-19T09:41:44.000000+00:00,GS2A_20210123T152641_029194_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-01-23,"[88, 89)",S2A
2021,1,23,S2MSI1C,91.1180686195467,ESA,17MRM,S2A_OPER_MSI_L1C_DS_S2RP_20230519T094144_S20210123T153328_N05.00,29194,2023-05-19T09:41:44.000000+00:00,GS2A_20210123T152641_029194_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-01-23,"[91, 92)",S2A
2021,1,23,S2MSI1C,62.6912419003255,ESA,17LRK,S2A_OPER_MSI_L1C_DS_S2RP_20230519T094144_S20210123T153328_N05.00,29194,2023-05-19T09:41:44.000000+00:00,GS2A_20210123T152641_029194_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-01-23,"[62, 63)",S2A
2021,1,23,S2MSI1C,37.761556141409,ESA,17LQL,S2A_OPER_MSI_L1C_DS_S2RP_20230519T094144_S20210123T153328_N05.00,29194,2023-05-19T09:41:44.000000+00:00,GS2A_20210123T152641_029194_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-01-23,"[37, 38)",S2A
2021,1,23,S2MSI2A,93.800479,ESA,18LTQ,S2A_OPER_MSI_L2A_DS_S2RP_20230519T141000_S20210123T153328_N05.00,29194,2023-05-19T14:10:00.000000+00:00,GS2A_20210123T152641_029194_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-01-23,"[93, 94)",S2A
2021,1,23,S2MSI2A,39.811882,ESA,17LQL,S2A_OPER_MSI_L2A_DS_S2RP_20230519T141000_S20210123T153328_N05.00,29194,2023-05-19T14:10:00.000000+00:00,GS2A_20210123T152641_029194_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-01-23,"[39, 40)",S2A
2021,5,18,S2MSI2A,77.876741,ESA,17LRK,S2B_OPER_MSI_L2A_DS_S2RP_20230222T155559_S20210518T152638_N05.00,21930,2023-02-22T15:55:59.000000+00:00,GS2B_20210518T152639_021930_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,B,2021-05-18,"[77, 78)",S2B
2021,5,23,S2MSI2A,63.337195,ESA,18LTQ,S2A_OPER_MSI_L2A_DS_S2RP_20230225T123946_S20210523T152704_N05.00,30910,2023-02-25T12:39:46.000000+00:00,GS2A_20210523T152641_030910_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-05-23,"[63, 64)",S2A
2021,11,29,S2MSI2A,79.522336,ESA,18LTQ,S2A_OPER_MSI_L2A_DS_S2RP_20230102T164801_S20211129T153327_N05.00,33627,2023-01-02T16:48:01.000000+00:00,GS2A_20211129T152641_033627_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-11-29,"[79, 80)",S2A
2021,11,19,S2MSI1C,23.7970765021096,ESA,17LQL,S2A_OPER_MSI_L1C_DS_S2RP_20230102T055050_S20211119T153327_N05.00,33484,2023-01-02T05:50:50.000000+00:00,GS2A_20211119T152641_033484_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-11-19,"[23, 24)",S2A
2021,11,19,S2MSI1C,11.5190978112095,ESA,17MQM,S2A_OPER_MSI_L1C_DS_S2RP_20230102T055050_S20211119T153327_N05.00,33484,2023-01-02T05:50:50.000000+00:00,GS2A_20211119T152641_033484_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-11-19,"[11, 12)",S2A
2021,11,19,S2MSI1C,37.8689936960004,ESA,18LTP,S2A_OPER_MSI_L1C_DS_S2RP_20230102T055050_S20211119T153327_N05.00,33484,2023-01-02T05:50:50.000000+00:00,GS2A_20211119T152641_033484_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-11-19,"[37, 38)",S2A
2021,1,13,S2MSI2A,15.478252,ESA,17LQL,S2A_OPER_MSI_L2A_DS_S2RP_20230519T145548_S20210113T153328_N05.00,29051,2023-05-19T14:55:48.000000+00:00,GS2A_20210113T152641_029051_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-01-13,"[15, 16)",S2A
2021,1,13,S2MSI2A,55.613875,ESA,17MQM,S2A_OPER_MSI_L2A_DS_S2RP_20230519T145548_S20210113T153328_N05.00,29051,2023-05-19T14:55:48.000000+00:00,GS2A_20210113T152641_029051_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-01-13,"[55, 56)",S2A
2021,1,13,S2MSI2A,71.24591499999998,ESA,18LTP,S2A_OPER_MSI_L2A_DS_S2RP_20230519T145548_S20210113T153328_N05.00,29051,2023-05-19T14:55:48.000000+00:00,GS2A_20210113T152641_029051_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-01-13,"[71, 72)",S2A
2021,4,13,S2MSI1C,74.2496043476963,ESA,17MRM,S2A_OPER_MSI_L1C_DS_S2RP_20230510T084055_S20210413T153408_N05.00,30338,2023-05-10T08:40:55.000000+00:00,GS2A_20210413T152631_030338_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-04-13,"[74, 75)",S2A
2021,4,13,S2MSI1C,37.6590969347759,ESA,18LTP,S2A_OPER_MSI_L1C_DS_S2RP_20230510T084055_S20210413T153408_N05.00,30338,2023-05-10T08:40:55.000000+00:00,GS2A_20210413T152631_030338_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-04-13,"[37, 38)",S2A
2021,11,29,S2MSI2A,43.642625,ESA,17LRK,S2A_OPER_MSI_L2A_DS_S2RP_20230102T164801_S20211129T153327_N05.00,33627,2023-01-02T16:48:01.000000+00:00,GS2A_20211129T152641_033627_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-11-29,"[43, 44)",S2A
2021,11,29,S2MSI1C,42.5570187225656,ESA,17LRL,S2A_OPER_MSI_L1C_DS_S2RP_20230101T234011_S20211129T153327_N05.00,33627,2023-01-01T23:40:11.000000+00:00,GS2A_20211129T152641_033627_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-11-29,"[42, 43)",S2A
2021,10,15,S2MSI1C,76.3796120755023,ESA,17LQL,S2B_OPER_MSI_L1C_DS_S2RP_20230108T050911_S20211015T152640_N05.00,24075,2023-01-08T05:09:11.000000+00:00,GS2B_20211015T152639_024075_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,B,2021-10-15,"[76, 77)",S2B
2021,11,24,S2MSI2A,99.736208,ESA,17MQM,S2B_OPER_MSI_L2A_DS_S2RP_20230101T031823_S20211124T153308_N05.00,24647,2023-01-01T03:18:23.000000+00:00,GS2B_20211124T152639_024647_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,B,2021-11-24,"[99, 100)",S2B
2021,10,15,S2MSI2A,95.525432,ESA,17MRM,S2B_OPER_MSI_L2A_DS_S2RP_20230108T105128_S20211015T152640_N05.00,24075,2023-01-08T10:51:28.000000+00:00,GS2B_20211015T152639_024075_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,B,2021-10-15,"[95, 96)",S2B
2021,10,15,S2MSI1C,43.3753453298542,ESA,17MQM,S2B_OPER_MSI_L1C_DS_S2RP_20230108T050911_S20211015T152640_N05.00,24075,2023-01-08T05:09:11.000000+00:00,GS2B_20211015T152639_024075_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,B,2021-10-15,"[43, 44)",S2B
2021,12,4,S2MSI2A,77.363408,ESA,17LRK,S2B_OPER_MSI_L2A_DS_S2RP_20221224T231914_S20211204T153057_N05.00,24790,2022-12-24T23:19:14.000000+00:00,GS2B_20211204T152639_024790_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,B,2021-12-04,"[77, 78)",S2B
2021,5,18,S2MSI1C,81.6350511479457,ESA,17LQL,S2B_OPER_MSI_L1C_DS_S2RP_20230222T101230_S20210518T152638_N05.00,21930,2023-02-22T10:12:30.000000+00:00,GS2B_20210518T152639_021930_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,B,2021-05-18,"[81, 82)",S2B
2021,6,7,S2MSI1C,81.5679476843142,ESA,17MRM,S2B_OPER_MSI_L1C_DS_S2RP_20230126T045356_S20210607T153335_N05.00,22216,2023-01-26T04:53:56.000000+00:00,GS2B_20210607T152639_022216_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,B,2021-06-07,"[81, 82)",S2B
2021,6,2,S2MSI1C,33.8265400579295,ESA,17LRL,S2A_OPER_MSI_L1C_DS_S2RP_20230218T200041_S20210602T152741_N05.00,31053,2023-02-18T20:00:41.000000+00:00,GS2A_20210602T152641_031053_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-06-02,"[33, 34)",S2A
2021,6,22,S2MSI2A,17.932144,ESA,17LRK,S2A_OPER_MSI_L2A_DS_S2RP_20230313T112436_S20210622T152738_N05.00,31339,2023-03-13T11:24:36.000000+00:00,GS2A_20210622T152641_031339_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,A,2021-06-22,"[17, 18)",S2A
2021,5,18,S2MSI1C,65.6655319657201,ESA,17LRK,S2B_OPER_MSI_L1C_DS_S2RP_20230222T101230_S20210518T152638_N05.00,21930,2023-02-22T10:12:30.000000+00:00,GS2B_20210518T152639_021930_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,B,2021-05-18,"[65, 66)",S2B
2021,5,8,S2MSI2A,35.327634,ESA,17LRK,S2B_OPER_MSI_L2A_DS_S2RP_20230403T022137_S20210508T152637_N05.00,21787,2023-04-03T02:21:37.000000+00:00,GS2B_20210508T152639_021787_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,B,2021-05-08,"[35, 36)",S2B
2021,4,28,S2MSI2A,56.304115,ESA,17LRK,S2B_OPER_MSI_L2A_DS_S2RP_20230514T024324_S20210428T153304_N05.00,21644,2023-05-14T02:43:24.000000+00:00,GS2B_20210428T152639_021644_N05.00,S2MSI2A,5.0,SENTINEL-2,MSI,25,B,2021-04-28,"[56, 57)",S2B
2021,6,22,S2MSI1C,63.7178207446795,ESA,17LQL,S2A_OPER_MSI_L1C_DS_S2RP_20230313T062745_S20210622T152738_N05.00,31339,2023-03-13T06:27:45.000000+00:00,GS2A_20210622T152641_031339_N05.00,S2MSI1C,5.0,SENTINEL-2,MSI,25,A,2021-06-22,"[63, 64)",S2A
2022,10,10,S2MSI2A,16.522923,ESA,17LQL,No disponible,29223,2022-10-10T20:31:30.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[16, 17)",Desconocido
2022,10,15,S2MSI1C,57.5440463893718,ESA,17LQL,No disponible,38203,2022-10-15T20:08:44.000000+00:00,GS2A_20221015T152641_038203_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-15,"[57, 58)",Desconocido
2022,10,15,S2MSI1C,95.7223565947027,ESA,17MRM,No disponible,38203,2022-10-15T20:08:44.000000+00:00,GS2A_20221015T152641_038203_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-15,"[95, 96)",Desconocido
2022,10,5,S2MSI2A,50.273633,ESA,17MRM,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[50, 51)",Desconocido
2022,10,5,S2MSI1C,31.7731493923378,ESA,17LRK,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[31, 32)",Desconocido
2022,10,5,S2MSI1C,51.293923280181,ESA,17LQL,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[51, 52)",Desconocido
2022,10,5,S2MSI1C,16.9027883127522,ESA,18LTP,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[16, 17)",Desconocido
